Age,Gender,Education,Country,Ethnicity,Neuroticism,Extraversion,Openness to experience,Agreeableness,Conscientiousness,Impulsiveness,Sensation seeking,Cannabis
25-34,Male,somecollege,Australia,White,27,43,51,46,25,8,10,1
18-24,Female,university,USA,White,30,49,52,43,43,6,7,1
25-34,Male,masters,USA,White,48,40,44,42,41,7,8,1
18-24,Female,leftbefore16,USA,White,42,39,52,40,31,4,10,1
35-44,Male,somecollege,USA,White,51,32,48,39,36,8,7,1
25-34,Female,somecollege,USA,White,25,49,54,37,41,5,9,0
18-24,Male,somecollege,USA,White,36,48,51,45,37,4,8,1
18-24,Male,somecollege,USA,OtherE,50,40,48,48,41,3,8,1
25-34,Male,somecollege,OtherC,White,46,19,47,43,41,4,6,1
18-24,Male,university,UK,White,40,37,47,41,42,6,7,1
18-24,Male,university,UK,White,31,55,51,52,43,4,9,1
18-24,Female,somecollege,USA,White,26,49,56,54,36,4,4,1
18-24,Female,somecollege,USA,White,40,45,54,50,46,2,6,1
18-24,Male,somecollege,USA,OtherE,37,46,53,47,46,2,8,1
25-34,Male,somecollege,Ireland,White,22,53,52,43,48,3,7,1
25-34,Male,somecollege,OtherC,White,37,37,33,27,41,5,8,0
25-34,Male,somecollege,USA,White,46,29,48,18,30,7,10,1
25-34,Female,left17,UK,White,60,24,40,36,24,5,2,1
18-24,Male,somecollege,OtherC,White,23,27,46,27,40,5,8,1
18-24,Female,professional,UK,White,20,38,47,44,37,2,6,1
25-34,Male,masters,USA,White,28,47,45,44,45,3,6,1
25-34,Male,university,USA,White,53,38,43,40,34,8,10,1
18-24,Female,somecollege,USA,White,53,33,39,37,34,9,10,1
18-24,Male,university,Canada,White,15,51,35,12,41,5,9,1
18-24,Male,somecollege,UK,Black,36,33,49,39,35,5,9,1
25-34,Female,masters,USA,White,38,35,48,39,33,5,7,1
18-24,Male,left18,USA,White,35,46,46,46,37,6,9,1
35-44,Female,university,USA,White,46,38,53,36,45,1,3,0
18-24,Male,somecollege,USA,White,49,39,45,27,33,6,7,1
25-34,Male,professional,OtherC,White,40,42,47,43,54,2,4,1
35-44,Male,university,Australia,White,24,42,41,34,45,5,9,0
18-24,Male,somecollege,USA,OtherE,33,40,44,48,36,1,10,1
18-24,Male,university,USA,White,37,44,46,34,42,6,8,1
25-34,Female,somecollege,USA,OtherE,49,43,53,37,28,8,9,1
18-24,Female,somecollege,USA,White,55,19,32,43,31,5,3,1
18-24,Male,somecollege,USA,White,43,30,41,34,36,3,8,1
35-44,Male,university,USA,White,39,29,34,32,47,2,7,0
18-24,Female,somecollege,USA,White,25,54,54,49,48,4,8,1
25-34,Female,left17,USA,White,56,20,42,28,19,8,9,1
18-24,Male,left18,USA,WhiteBlack,38,40,46,40,48,2,5,1
25-34,Male,left16,USA,White,40,39,45,42,38,4,8,1
18-24,Female,somecollege,USA,White,52,28,45,53,45,5,9,1
18-24,Male,left18,Canada,White,38,49,58,41,34,8,10,1
35-44,Male,masters,UK,White,33,38,41,38,43,7,6,0
18-24,Male,somecollege,OtherC,White,25,43,53,34,45,3,9,1
18-24,Male,leftbefore16,Australia,White,37,38,46,46,33,3,7,1
18-24,Male,somecollege,USA,White,25,30,41,35,33,4,5,1
25-34,Male,left18,USA,White,48,31,29,36,36,7,5,1
18-24,Male,left16,USA,White,46,29,48,44,35,5,6,1
18-24,Male,professional,USA,White,28,48,50,50,37,3,8,1
25-34,Male,somecollege,USA,White,38,31,52,38,40,3,8,1
25-34,Male,somecollege,USA,White,30,49,56,53,46,4,9,1
18-24,Female,somecollege,UK,OtherE,33,46,51,45,40,5,6,1
35-44,Male,left16,UK,White,29,35,42,44,37,1,3,1
25-34,Female,university,Australia,White,43,35,54,49,45,5,8,0
18-24,Female,left17,USA,White,47,26,46,50,36,3,10,1
18-24,Female,university,UK,White,33,40,53,47,54,2,4,1
18-24,Female,somecollege,USA,White,24,47,54,45,36,8,10,1
18-24,Female,somecollege,USA,White,56,35,48,44,36,5,8,1
18-24,Male,professional,UK,White,40,48,53,43,39,5,6,1
18-24,Male,somecollege,OtherC,White,35,42,50,47,35,6,9,1
18-24,Female,university,UK,White,39,42,46,39,47,2,7,1
18-24,Male,somecollege,OtherC,White,40,37,53,33,41,3,8,1
25-34,Female,left18,OtherC,White,45,48,53,38,51,4,7,1
25-34,Male,professional,USA,OtherE,31,54,59,51,50,3,7,1
18-24,Female,somecollege,USA,WhiteAsian,51,34,50,46,33,6,8,1
25-34,Female,masters,USA,White,46,38,49,48,32,7,8,1
18-24,Female,somecollege,USA,White,32,32,42,52,35,2,1,1
18-24,Male,left18,USA,White,29,38,38,38,30,6,5,1
25-34,Male,professional,UK,White,55,30,47,41,29,7,5,1
25-34,Female,left18,Canada,White,40,40,29,41,47,1,0,0
35-44,Male,professional,USA,White,51,27,46,44,30,6,4,1
18-24,Female,university,USA,White,42,40,49,40,37,3,7,1
18-24,Female,somecollege,USA,White,25,42,57,47,41,9,10,1
18-24,Male,somecollege,USA,White,40,41,48,41,40,8,8,1
25-34,Female,university,UK,White,46,33,46,41,29,5,8,1
18-24,Male,somecollege,OtherC,White,49,34,44,42,36,2,2,1
18-24,Male,professional,USA,White,53,36,46,33,20,8,9,1
45-54,Male,university,USA,White,25,36,42,44,45,2,3,1
35-44,Male,professional,UK,White,23,38,47,51,50,2,2,1
18-24,Male,somecollege,OtherC,White,33,50,46,35,54,3,8,1
18-24,Female,university,OtherC,White,36,41,55,50,37,5,4,0
45-54,Female,somecollege,USA,White,35,35,51,55,39,3,5,1
18-24,Male,professional,Australia,White,39,46,53,45,40,8,10,1
25-34,Male,somecollege,USA,White,32,42,57,48,33,6,7,0
35-44,Male,somecollege,UK,White,42,26,46,44,42,4,9,1
18-24,Male,somecollege,USA,White,27,48,43,48,44,3,7,1
25-34,Female,masters,USA,White,25,40,51,46,40,4,7,1
18-24,Male,masters,UK,White,27,47,46,45,45,4,9,1
18-24,Female,somecollege,USA,White,30,42,50,50,44,2,4,1
18-24,Female,somecollege,USA,White,33,41,57,52,39,7,9,1
18-24,Male,somecollege,USA,Black,22,48,53,33,48,3,8,1
55-64,Male,doctorate,OtherC,OtherE,20,48,50,50,47,5,6,1
35-44,Female,university,Canada,White,38,40,45,39,38,6,8,1
25-34,Male,somecollege,Canada,White,40,28,50,36,48,3,7,1
18-24,Male,somecollege,USA,White,50,31,38,44,38,2,7,1
18-24,Male,somecollege,USA,White,20,53,54,52,46,2,10,1
18-24,Male,somecollege,USA,White,48,40,53,35,36,5,10,1
+64,Male,masters,USA,White,18,40,50,48,47,5,4,0
18-24,Male,somecollege,USA,White,30,47,51,47,42,3,4,1
35-44,Female,masters,UK,White,30,49,37,53,39,7,9,1
45-54,Female,somecollege,USA,White,48,32,43,42,47,2,5,1
25-34,Female,doctorate,USA,Asian,42,41,51,39,40,2,3,1
18-24,Male,somecollege,OtherC,White,40,39,47,38,45,3,6,1
18-24,Male,somecollege,UK,White,46,47,38,37,34,6,9,1
25-34,Female,university,USA,White,42,39,57,31,49,5,9,1
18-24,Male,somecollege,USA,White,34,39,54,49,41,6,10,1
18-24,Male,somecollege,OtherC,White,34,42,54,40,35,5,9,1
18-24,Male,professional,USA,White,43,34,41,40,44,6,6,1
25-34,Male,somecollege,USA,White,52,44,49,34,25,7,9,1
18-24,Male,somecollege,USA,White,46,29,49,43,35,2,6,1
25-34,Male,university,USA,White,28,40,47,36,40,7,9,1
18-24,Male,somecollege,USA,White,52,36,56,44,39,6,9,1
18-24,Male,somecollege,Australia,White,39,51,48,38,28,8,10,1
55-64,Male,professional,OtherC,White,28,42,50,44,42,3,5,1
25-34,Male,university,UK,White,25,45,55,56,49,3,7,1
18-24,Male,somecollege,USA,White,41,45,51,49,36,5,9,1
18-24,Male,masters,OtherC,White,28,38,44,37,41,5,8,1
18-24,Male,masters,UK,White,28,46,43,46,47,6,8,1
25-34,Male,masters,UK,White,47,38,52,39,48,3,6,0
25-34,Female,doctorate,USA,White,26,45,44,42,48,3,4,1
18-24,Male,somecollege,USA,White,29,43,45,44,51,2,2,1
18-24,Male,left16,NewZealand,White,48,32,44,42,37,7,8,1
18-24,Male,somecollege,USA,White,35,46,37,27,35,7,10,1
45-54,Female,somecollege,OtherC,White,32,41,47,46,47,1,2,1
18-24,Male,somecollege,OtherC,White,55,27,44,33,44,1,4,1
18-24,Male,left18,Canada,White,53,23,38,40,17,3,2,1
18-24,Male,left18,USA,WhiteBlack,44,29,33,43,29,7,9,1
18-24,Female,left18,USA,White,53,33,52,44,35,2,4,0
18-24,Male,somecollege,USA,White,35,41,56,49,42,4,7,1
45-54,Male,masters,OtherC,White,42,31,42,40,33,3,5,1
18-24,Female,left18,UK,White,48,46,49,41,40,5,7,1
45-54,Male,university,USA,White,29,40,46,43,45,0,4,1
18-24,Female,somecollege,USA,White,30,49,57,51,36,4,10,1
25-34,Male,somecollege,USA,White,53,31,49,38,31,4,2,1
18-24,Male,somecollege,USA,White,42,42,47,44,41,4,8,1
25-34,Male,somecollege,USA,White,28,53,52,46,37,8,10,1
45-54,Male,university,USA,White,25,44,59,48,50,1,6,1
18-24,Male,professional,OtherC,White,18,55,57,44,52,4,8,1
25-34,Male,somecollege,USA,White,39,20,40,32,22,6,6,1
18-24,Female,left18,UK,White,32,31,39,46,49,2,0,1
25-34,Male,left18,OtherC,White,38,50,48,33,42,3,8,1
35-44,Female,somecollege,USA,White,45,30,36,40,36,4,0,1
18-24,Male,university,USA,White,37,33,53,30,47,3,4,1
18-24,Female,somecollege,UK,White,55,19,38,40,23,2,3,0
18-24,Male,left18,Australia,White,49,39,56,37,39,3,6,1
18-24,Male,somecollege,USA,White,29,38,53,36,23,7,8,1
18-24,Female,left18,USA,OtherE,39,32,49,47,37,6,6,1
18-24,Female,university,USA,White,25,33,41,41,39,3,4,1
45-54,Male,doctorate,USA,White,37,42,49,37,42,4,7,0
35-44,Female,university,USA,Asian,42,42,43,43,46,7,9,1
18-24,Female,masters,USA,White,32,45,50,47,50,3,10,1
18-24,Female,university,UK,White,41,33,40,36,39,3,7,0
18-24,Male,somecollege,Australia,White,29,42,50,50,42,4,8,1
25-34,Male,somecollege,UK,White,38,30,45,36,31,7,7,0
18-24,Male,somecollege,USA,White,38,35,47,39,40,4,7,1
18-24,Female,somecollege,UK,White,48,36,49,39,34,5,10,1
18-24,Male,professional,UK,White,41,43,57,43,38,5,8,1
18-24,Female,somecollege,USA,White,41,45,52,42,40,7,9,1
25-34,Male,somecollege,USA,White,19,43,50,47,47,1,3,1
35-44,Female,masters,USA,White,48,29,46,58,36,3,0,1
18-24,Female,somecollege,USA,White,38,34,51,56,49,5,9,1
18-24,Male,somecollege,USA,White,43,39,50,38,45,2,6,1
35-44,Female,masters,UK,White,42,39,32,42,34,6,7,0
35-44,Male,university,UK,White,38,24,31,34,31,8,8,0
25-34,Male,somecollege,OtherC,White,46,36,47,49,38,6,5,1
25-34,Female,masters,UK,White,45,37,36,48,37,1,4,1
18-24,Male,somecollege,UK,White,43,48,55,49,35,7,9,1
25-34,Female,masters,USA,White,49,48,57,26,32,7,9,1
18-24,Male,somecollege,USA,White,48,31,49,43,44,1,1,1
18-24,Male,masters,UK,White,23,55,49,38,46,6,10,1
18-24,Male,professional,UK,White,25,44,46,45,38,3,4,1
18-24,Female,somecollege,USA,White,46,43,55,53,37,6,8,1
25-34,Male,doctorate,OtherC,White,22,39,51,30,44,4,9,1
18-24,Male,somecollege,USA,White,29,37,39,41,40,3,5,1
18-24,Male,left18,Canada,White,48,36,35,30,26,7,10,1
18-24,Female,somecollege,USA,White,40,36,49,41,39,3,5,1
25-34,Male,left16,UK,White,28,48,56,39,46,4,7,1
25-34,Female,somecollege,USA,White,38,39,51,47,51,1,2,1
35-44,Female,left18,USA,White,39,31,38,31,31,4,7,1
18-24,Male,university,USA,White,43,32,37,40,39,5,7,1
18-24,Male,somecollege,USA,White,30,39,51,49,40,2,7,1
45-54,Female,masters,OtherC,White,30,40,56,47,48,1,4,0
18-24,Female,left18,USA,OtherE,33,44,36,44,47,7,6,0
18-24,Female,university,USA,BlackAsian,48,52,56,42,38,7,9,1
25-34,Male,somecollege,USA,White,21,39,52,33,45,3,6,1
25-34,Male,masters,OtherC,OtherE,29,44,56,47,46,3,9,1
18-24,Male,somecollege,USA,White,13,43,54,50,33,6,8,1
35-44,Female,left17,Canada,White,48,35,50,45,52,1,1,0
35-44,Male,university,Canada,White,30,35,29,41,40,0,2,0
18-24,Male,left18,UK,White,21,46,46,43,35,6,6,1
25-34,Female,doctorate,UK,White,27,40,53,55,54,1,5,0
25-34,Female,masters,OtherC,WhiteBlack,35,30,43,42,50,3,2,0
18-24,Male,masters,UK,White,40,40,48,39,43,6,6,0
18-24,Male,somecollege,Ireland,White,31,37,53,44,31,3,8,1
18-24,Female,masters,UK,White,51,29,45,45,39,2,1,0
35-44,Female,doctorate,UK,White,29,42,46,41,51,1,1,0
35-44,Male,left18,UK,White,39,35,43,40,41,4,8,0
18-24,Male,left17,UK,White,27,36,51,51,40,2,5,1
35-44,Female,professional,Canada,White,40,40,39,44,41,1,2,0
25-34,Female,university,USA,White,53,26,57,37,44,4,10,1
45-54,Male,professional,UK,White,22,46,44,40,44,3,1,0
35-44,Female,professional,UK,White,41,30,36,44,33,1,2,0
25-34,Female,masters,UK,OtherE,39,51,45,45,46,5,8,0
18-24,Female,masters,UK,White,25,50,48,50,50,3,5,0
18-24,Male,masters,UK,White,33,43,44,45,38,3,5,0
18-24,Female,masters,UK,White,42,47,40,40,32,2,3,0
18-24,Female,university,UK,White,35,39,49,45,45,1,5,0
18-24,Female,masters,UK,White,33,43,52,42,53,5,7,0
35-44,Male,professional,Canada,White,34,39,50,46,46,2,7,1
18-24,Female,masters,OtherC,White,35,46,58,41,44,1,4,0
18-24,Female,masters,UK,White,41,43,46,41,44,4,4,0
25-34,Female,masters,USA,White,31,39,48,47,48,4,3,0
25-34,Female,university,UK,White,26,49,47,50,40,1,8,1
18-24,Female,masters,UK,White,42,49,45,57,38,7,7,0
45-54,Female,left16,UK,White,31,44,38,50,43,4,4,1
18-24,Male,university,Australia,White,21,34,42,35,32,4,8,1
25-34,Female,university,Australia,White,23,51,40,39,46,6,7,1
35-44,Male,masters,UK,Asian,31,46,47,43,48,6,5,0
25-34,Male,masters,UK,White,47,32,40,43,43,3,0,0
18-24,Male,left18,UK,White,30,35,56,54,33,3,4,1
25-34,Male,somecollege,USA,White,27,40,51,44,37,6,6,1
18-24,Female,somecollege,USA,White,36,37,46,37,37,1,5,1
18-24,Female,masters,UK,White,24,48,48,46,46,3,7,1
18-24,Male,somecollege,OtherC,White,30,43,45,45,28,4,8,1
18-24,Female,university,USA,White,39,39,42,41,50,2,4,1
18-24,Female,masters,OtherC,White,28,39,45,40,39,3,9,1
18-24,Female,left18,USA,White,26,42,57,37,28,4,8,1
25-34,Male,somecollege,OtherC,White,25,32,51,35,26,1,6,1
25-34,Female,doctorate,UK,White,34,38,43,56,52,1,6,0
25-34,Female,somecollege,OtherC,White,54,38,49,35,34,4,8,1
18-24,Male,university,UK,White,47,47,53,42,38,8,10,1
18-24,Male,somecollege,UK,White,27,51,55,51,40,4,7,1
45-54,Male,somecollege,USA,White,57,29,33,44,29,6,4,0
18-24,Female,somecollege,USA,White,38,39,44,56,51,1,2,1
45-54,Male,doctorate,USA,White,40,37,50,45,32,7,6,1
18-24,Male,left18,USA,White,27,31,41,36,46,2,4,1
18-24,Male,somecollege,USA,White,12,43,46,51,54,3,8,1
45-54,Male,left16,UK,White,41,36,49,26,40,6,5,1
18-24,Male,somecollege,USA,OtherE,45,40,54,42,31,7,7,1
18-24,Male,somecollege,USA,White,51,31,45,37,37,2,5,1
25-34,Female,university,USA,White,21,55,60,50,40,5,10,1
18-24,Male,somecollege,USA,White,46,37,46,31,34,6,8,1
25-34,Male,university,UK,White,26,48,49,46,47,4,5,0
25-34,Male,somecollege,USA,White,32,21,37,38,40,4,8,0
18-24,Male,left16,Canada,White,35,26,56,43,39,2,4,1
25-34,Male,professional,UK,White,43,33,38,43,32,5,4,1
25-34,Male,left18,UK,White,26,40,29,46,42,7,6,1
25-34,Male,professional,USA,White,49,30,43,42,24,3,5,1
55-64,Male,left17,USA,White,41,37,42,32,46,3,6,1
18-24,Male,somecollege,USA,White,49,33,51,45,36,5,9,1
18-24,Male,somecollege,USA,White,46,25,41,50,32,6,7,1
18-24,Male,somecollege,OtherC,White,22,31,52,53,28,3,7,1
18-24,Male,somecollege,OtherC,White,40,41,45,43,27,7,8,1
25-34,Female,professional,USA,White,56,45,51,29,28,8,10,1
25-34,Male,masters,NewZealand,White,42,35,47,35,40,3,5,1
35-44,Male,professional,Australia,White,24,41,56,50,44,7,8,1
18-24,Male,masters,USA,White,40,48,38,37,38,8,7,1
18-24,Male,left18,USA,White,49,44,44,34,29,7,9,1
25-34,Female,doctorate,UK,White,35,42,40,43,45,1,3,0
25-34,Female,university,OtherC,White,39,26,46,47,32,3,3,0
25-34,Male,somecollege,USA,White,41,31,49,16,38,8,9,1
18-24,Female,somecollege,USA,White,27,43,47,52,40,3,9,1
25-34,Female,university,Australia,White,51,28,51,36,30,5,9,1
35-44,Male,professional,USA,White,40,31,47,42,46,5,6,1
18-24,Female,somecollege,USA,White,54,26,54,52,33,3,9,1
45-54,Male,university,UK,White,38,32,41,41,37,4,3,0
18-24,Male,somecollege,Ireland,White,51,34,41,35,25,3,6,1
25-34,Male,masters,USA,White,38,35,48,43,34,2,2,1
25-34,Male,university,USA,White,14,37,38,33,48,3,6,0
35-44,Male,professional,USA,White,53,33,47,33,32,6,4,1
18-24,Male,somecollege,USA,White,37,41,47,39,37,5,10,1
45-54,Female,left18,Australia,White,30,44,44,46,48,2,4,1
25-34,Male,somecollege,USA,White,48,37,50,50,45,4,7,1
35-44,Female,university,USA,White,52,27,42,41,32,6,3,1
55-64,Female,masters,USA,OtherE,39,35,41,35,40,5,10,0
18-24,Male,left18,OtherC,White,41,34,45,42,27,5,9,1
18-24,Female,masters,UK,White,40,41,48,48,38,4,8,1
18-24,Male,doctorate,UK,White,27,51,56,53,38,3,9,1
18-24,Female,somecollege,UK,White,38,39,44,39,45,3,4,0
18-24,Male,somecollege,UK,White,42,52,57,46,39,7,8,1
45-54,Male,professional,Ireland,White,31,40,44,35,48,2,7,1
25-34,Female,university,Canada,White,42,39,47,43,33,4,9,1
18-24,Male,left17,USA,OtherE,44,32,36,37,43,5,8,1
18-24,Male,somecollege,USA,White,36,39,56,44,44,5,10,1
25-34,Female,doctorate,UK,White,34,33,48,49,54,2,4,0
25-34,Male,left17,Australia,White,32,42,46,44,45,4,6,0
25-34,Male,somecollege,USA,White,44,32,49,39,49,6,5,1
35-44,Male,university,USA,White,32,36,52,48,28,8,10,1
25-34,Male,university,USA,White,41,33,53,41,46,3,6,1
18-24,Male,left18,USA,White,44,38,55,38,34,6,8,1
45-54,Male,professional,USA,White,40,39,45,30,34,5,7,0
35-44,Female,university,USA,White,25,48,55,51,44,2,5,1
35-44,Male,somecollege,USA,White,37,36,46,38,43,2,7,1
18-24,Male,somecollege,USA,White,33,41,39,47,48,6,7,1
18-24,Female,somecollege,USA,White,40,41,55,47,46,1,6,1
18-24,Male,somecollege,USA,OtherE,36,34,52,41,49,3,8,1
25-34,Male,masters,USA,White,39,34,46,37,49,8,10,1
18-24,Male,somecollege,USA,OtherE,23,40,40,48,40,3,8,1
18-24,Male,somecollege,OtherC,White,44,39,46,34,35,1,6,1
25-34,Female,somecollege,USA,White,31,42,47,53,43,7,7,0
25-34,Female,masters,USA,White,55,43,57,24,32,8,10,1
18-24,Male,somecollege,USA,White,28,38,42,48,40,3,2,1
18-24,Male,somecollege,USA,White,34,28,48,39,40,2,7,1
25-34,Male,somecollege,OtherC,White,52,37,42,40,34,4,7,1
25-34,Female,professional,Australia,White,40,37,42,56,36,5,6,1
18-24,Male,university,USA,White,31,47,52,41,53,2,5,1
45-54,Male,left16,USA,White,34,31,45,49,44,3,8,1
18-24,Male,somecollege,USA,White,44,38,50,37,35,6,8,1
18-24,Male,somecollege,OtherC,White,26,44,48,47,36,8,7,1
25-34,Female,university,UK,White,48,38,52,46,42,4,6,1
55-64,Female,doctorate,USA,White,32,43,49,40,42,3,6,1
18-24,Male,somecollege,Canada,White,25,49,49,39,42,7,7,1
18-24,Male,masters,USA,White,18,42,51,54,48,2,4,1
18-24,Female,somecollege,USA,White,42,44,49,44,22,8,9,0
18-24,Male,left18,Canada,White,51,29,49,46,33,8,9,1
18-24,Male,somecollege,USA,White,14,47,53,53,38,4,7,1
35-44,Male,university,USA,White,39,41,51,36,45,5,9,0
18-24,Male,somecollege,USA,White,45,37,46,40,29,6,7,0
18-24,Male,somecollege,USA,White,41,38,42,38,38,3,8,1
25-34,Male,university,Canada,White,27,38,45,30,40,5,1,0
25-34,Male,left16,USA,White,32,21,41,43,44,1,3,1
18-24,Male,somecollege,USA,White,55,19,37,45,27,5,9,1
25-34,Female,university,OtherC,White,37,28,49,49,29,3,3,0
18-24,Male,somecollege,USA,White,39,46,57,38,37,7,10,1
18-24,Male,somecollege,USA,White,29,45,48,36,36,3,8,1
18-24,Male,left18,USA,WhiteAsian,40,43,44,34,40,5,9,1
25-34,Male,somecollege,USA,White,44,30,49,36,33,4,8,1
18-24,Female,left18,UK,White,26,36,46,29,31,7,7,1
45-54,Male,university,UK,White,31,50,55,52,50,3,5,0
18-24,Male,professional,USA,OtherE,37,40,51,28,51,6,10,1
18-24,Male,somecollege,Canada,WhiteBlack,22,33,50,36,39,5,7,1
45-54,Male,university,Australia,White,26,44,43,36,47,6,8,1
18-24,Male,somecollege,Canada,White,23,47,50,39,36,6,7,1
18-24,Male,somecollege,OtherC,White,33,32,48,40,34,1,8,1
18-24,Female,somecollege,Canada,White,45,41,50,42,26,1,7,1
18-24,Male,somecollege,Australia,White,33,41,50,40,42,4,8,1
35-44,Female,professional,UK,White,43,43,36,37,43,7,8,0
25-34,Male,professional,USA,White,48,36,52,43,35,6,8,1
18-24,Male,professional,Canada,White,34,49,55,44,31,5,8,1
18-24,Male,somecollege,USA,White,40,44,44,37,42,4,8,1
25-34,Female,masters,USA,White,39,48,45,38,34,4,4,1
18-24,Female,somecollege,OtherC,White,24,41,51,35,30,2,8,1
18-24,Female,professional,USA,White,46,46,48,32,35,6,7,1
18-24,Female,left18,USA,White,46,38,47,33,37,6,9,1
18-24,Male,somecollege,USA,White,33,44,48,40,42,7,9,1
25-34,Male,doctorate,USA,White,31,22,30,42,41,3,2,0
18-24,Female,somecollege,USA,White,45,38,46,43,39,3,5,1
18-24,Male,university,USA,White,42,49,50,44,48,4,10,1
25-34,Female,university,USA,White,41,44,54,42,31,5,5,1
35-44,Male,left16,USA,White,47,36,47,47,30,1,5,1
18-24,Male,somecollege,USA,WhiteBlack,26,52,54,44,46,5,7,1
18-24,Female,left18,USA,White,37,41,53,40,41,4,6,1
18-24,Female,university,OtherC,OtherE,46,31,53,29,38,7,9,1
18-24,Female,somecollege,OtherC,White,51,37,49,47,45,4,6,0
18-24,Male,university,UK,White,43,37,50,47,41,4,7,1
18-24,Male,somecollege,USA,White,36,32,46,45,46,1,1,1
55-64,Male,masters,USA,White,37,44,50,41,46,3,3,0
45-54,Female,masters,UK,White,21,45,54,47,42,3,1,0
18-24,Male,university,USA,White,36,45,52,40,50,4,4,1
25-34,Male,left18,USA,White,39,42,52,50,36,5,6,1
18-24,Female,university,UK,White,35,41,49,34,45,5,8,0
45-54,Female,somecollege,UK,White,40,40,48,47,42,5,4,0
35-44,Female,university,UK,White,46,30,43,42,35,3,4,0
25-34,Female,university,UK,White,24,45,37,36,41,3,7,0
45-54,Female,university,UK,White,27,26,36,52,48,1,4,0
25-34,Female,university,UK,White,41,40,39,44,31,2,4,0
45-54,Female,university,UK,White,24,51,46,44,54,1,3,0
45-54,Female,professional,UK,White,24,38,30,53,32,1,1,0
55-64,Male,university,UK,White,37,36,40,40,32,5,6,0
45-54,Female,professional,UK,White,30,38,44,51,46,1,5,0
45-54,Female,masters,UK,White,31,39,55,43,48,8,8,0
35-44,Female,masters,UK,White,27,39,49,40,49,2,4,0
45-54,Female,doctorate,UK,WhiteAsian,43,39,54,40,47,5,8,0
35-44,Female,left17,UK,White,39,28,32,36,31,1,0,0
35-44,Female,university,UK,White,32,31,32,45,40,1,2,0
25-34,Female,university,UK,OtherE,36,34,44,40,37,3,5,0
45-54,Female,university,UK,White,49,35,48,52,43,1,4,0
35-44,Female,university,UK,White,26,36,46,34,46,6,7,0
25-34,Female,masters,UK,White,50,31,41,37,42,2,4,0
25-34,Female,doctorate,UK,White,27,45,42,39,42,1,3,0
45-54,Female,masters,UK,White,32,34,43,35,41,8,7,0
45-54,Female,university,UK,White,29,42,44,45,36,4,7,1
25-34,Female,somecollege,UK,White,50,36,53,50,36,8,6,0
25-34,Female,professional,UK,White,39,46,39,44,46,5,8,1
45-54,Female,university,UK,White,36,39,41,45,46,2,5,0
25-34,Female,professional,UK,White,32,34,38,47,42,5,7,0
35-44,Female,left16,UK,White,28,40,38,41,44,4,5,0
25-34,Female,masters,UK,White,53,33,44,31,26,7,10,0
35-44,Female,professional,UK,White,37,32,43,47,44,1,0,0
35-44,Female,university,UK,White,40,40,38,32,42,4,7,0
25-34,Female,masters,UK,White,35,37,43,54,44,1,4,0
25-34,Female,professional,UK,White,24,39,38,49,43,2,4,1
55-64,Female,university,UK,White,34,39,47,48,38,6,2,0
35-44,Female,somecollege,OtherC,White,52,33,33,48,34,4,0,0
35-44,Male,doctorate,OtherC,White,52,39,52,36,39,3,5,0
35-44,Female,masters,UK,White,26,41,49,41,46,3,5,0
45-54,Female,professional,UK,White,21,35,34,44,53,2,6,0
18-24,Male,somecollege,USA,White,31,47,50,39,33,5,9,1
25-34,Female,somecollege,USA,WhiteAsian,35,49,58,37,38,7,9,1
35-44,Female,professional,USA,White,25,38,51,49,49,1,6,1
18-24,Female,university,UK,Asian,42,41,38,45,38,5,4,0
18-24,Male,university,UK,Asian,44,44,40,28,48,8,10,0
18-24,Male,somecollege,USA,White,24,51,48,50,45,3,5,1
18-24,Female,somecollege,UK,OtherE,23,40,47,44,40,2,6,1
18-24,Female,somecollege,USA,White,44,25,49,35,27,8,9,1
18-24,Male,somecollege,USA,White,54,33,46,35,32,2,2,1
18-24,Male,somecollege,USA,WhiteBlack,20,52,60,48,44,7,9,1
18-24,Male,somecollege,USA,White,43,43,41,33,38,8,8,1
35-44,Female,university,USA,White,30,43,58,40,41,6,9,0
18-24,Female,somecollege,USA,White,35,46,46,36,39,3,7,1
18-24,Male,masters,UK,White,31,42,52,42,47,3,6,1
18-24,Male,somecollege,OtherC,OtherE,47,28,46,36,34,4,8,1
25-34,Male,professional,UK,White,33,45,48,41,43,8,9,1
25-34,Male,somecollege,USA,White,53,32,49,32,32,7,9,1
25-34,Female,masters,USA,White,43,53,54,38,51,6,10,1
18-24,Female,somecollege,USA,White,53,23,51,38,34,3,4,1
18-24,Male,somecollege,USA,White,36,36,54,48,33,2,8,1
18-24,Female,somecollege,USA,White,32,43,45,37,50,3,6,1
18-24,Male,somecollege,USA,OtherE,32,40,50,42,38,4,9,1
35-44,Female,university,USA,White,19,43,50,34,38,5,6,1
25-34,Male,somecollege,USA,White,45,39,56,44,44,5,9,1
35-44,Female,somecollege,USA,White,30,33,55,45,37,3,6,1
18-24,Female,somecollege,USA,White,38,48,47,49,49,4,3,1
18-24,Male,university,USA,White,29,49,55,52,49,1,6,1
35-44,Male,university,Australia,White,35,36,39,39,45,1,0,0
18-24,Female,somecollege,USA,White,31,45,56,49,31,7,7,1
18-24,Male,somecollege,Australia,White,58,22,53,43,23,4,3,1
25-34,Male,somecollege,USA,White,32,44,57,39,44,4,8,1
